customer_id,customer_name,email,phone,dob,gender,country,city
37,Laura Gerdes,LauraGerdes26@gmail.com,269-370-8170,1974-09-10,F,Nigeria,Onitsha
38,Juan Blair,JuanBlair41@gmail.com,413-496-5002,1996-03-13,M,Nigeria,Suleja
39,Sandra Shelley,SandraShelley32@gmail.com,320-315-9694,1984-11-04,F,Nigeria,Katsina
40,Valerie Shanks,ValerieShanks25@gmail.com,256-693-7847,1976-01-07,F,Nigeria,Nnewi
41,Vivian Contreras,VivianContreras51@gmail.com,510-763-7709,1979-03-21,F,Nigeria,Awka
42,Maria Ingram,MariaIngram30@gmail.com,301-717-4213,1986-07-28,F,Nigeria,Oyo
43,Alejandro Henderson,AlejandroHenderson61@gmail.com,614-780-4821,1991-08-13,M,Nigeria,Okene
44,Harold Wells,HaroldWells31@gmail.com,312-907-3995,1998-02-25,M,Nigeria,Keffi
45,Lisa Jacobs,LisaJacobs57@gmail.com,570-386-6744,1981-06-17,F,Nigeria,Okene
46,Araceli Fegley,AraceliFegley81@gmail.com,813-919-3954,1995-12-24,F,Nigeria,Eket
47,Debby Corrado,DebbyCorrado86@gmail.com,863-522-8166,1997-05-08,F,Nigeria,Ilorin
48,Emerson Lumsden,EmersonLumsden91@gmail.com,910-559-8702,1987-11-01,M,Nigeria,Umuahia
49,Deanna Johnson,DeannaJohnson33@gmail.com,334-216-1790,1973-02-22,F,Nigeria,Katsina
50,Maisie Myers,MaisieMyers46@gmail.com,469-523-2042,1985-06-03,F,Nigeria,Minna
51,William Sherman,WilliamSherman95@gmail.com,951-277-0079,1988-12-10,M,Nigeria,Abuja
52,Patricia Goss,PatriciaGoss28@gmail.com,281-576-8337,1997-05-19,F,Nigeria,Ikoyi
53,Barbara King,BarbaraKing92@gmail.com,925-752-6708,1974-11-23,F,Nigeria,Jalingo
54,Marion Clark,MarionClark81@gmail.com,812-589-5413,1982-03-06,F,Nigeria,Lokoja
55,Karen Tanaka,KarenTanaka21@gmail.com,217-918-6500,1989-09-15,F,Nigeria,Makurdi
56,Christopher Gwin,ChristopherGwin25@gmail.com,254-974-4969,1978-06-27,M,Nigeria,Makurdi
57,Larry Benjamin,LarryBenjamin91@gmail.com,910-488-4034,1995-05-28,M,Nigeria,Aba
58,Jose Musselwhite,JoseMusselwhite61@gmail.com,614-640-3340,1981-08-02,M,Nigeria,Port Harcourt
59,Nettie Manuel,NettieManuel65@gmail.com,650-551-4973,1990-04-08,F,Nigeria,Kano
60,Irene Ward,IreneWard60@gmail.com,603-944-9860,1972-06-01,F,Nigeria,Calabar
61,Barbara Shreve,BarbaraShreve98@gmail.com,989-865-6321,1979-11-11,F,Nigeria,Kano
62,Reva Turco,RevaTurco21@gmail.com,218-861-7686,1986-08-20,F,Nigeria,Ado Ekiti
63,Olga Kubiak,OlgaKubiak40@gmail.com,404-445-6275,1994-03-09,F,Nigeria,Ilorin
64,Thelma McIntyre,ThelmaMcIntyre51@gmail.com,517-540-4455,1983-02-04,F,Nigeria,Abuja
65,Joseph Smith,JosephSmith91@gmail.com,917-295-3249,1992-12-16,M,Nigeria,Lafia
66,Caitlin Culbreth,CaitlinCulbreth50@gmail.com,505-650-4257,1980-07-12,F,Nigeria,Nsukka
67,Scott Croom,ScottCroom42@gmail.com,423-352-3011,1987-04-30,M,Nigeria,Ado Ekiti
68,Kimberly Estes,KimberlyEstes90@gmail.com,906-250-9813,1996-01-24,F,Nigeria,Asaba
69,Crystal Blackledge,CrystalBlackledge51@gmail.com,518-798-9801,1971-03-19,F,Nigeria,Oyo
70,Michelle Garcia,MichelleGarcia71@gmail.com,713-638-1811,1988-08-08,F,Nigeria,Gombe
71,Raymond Kellam,RaymondKellam31@gmail.com,313-899-8987,1999-06-07,M,Nigeria,Kontagora
72,Juan Matos,JuanMatos91@gmail.com,916-625-5212,1991-05-15,M,Nigeria,Owerri
73,Jesus Banuelos,JesusBanuelos94@gmail.com,949-757-4200,1994-10-21,M,Nigeria,Oyo
74,Kimberly Weiss,KimberlyWeiss51@gmail.com,512-520-0706,1977-03-14,F,Nigeria,Ikot Ekpene
75,Cecelia Martel,CeceliaMartel61@gmail.com,615-357-0832,1996-09-12,F,Nigeria,Jalingo
76,Mark Johnson,MarkJohnson41@gmail.com,415-968-2718,1983-05-28,M,Nigeria,Lokoja
77,Harris Killian,HarrisKillian50@gmail.com,503-509-8867,1986-02-02,M,Nigeria,Lafia
78,Cynthia Bailey,CynthiaBailey53@gmail.com,530-267-5117,1995-10-03,F,Nigeria,Ogbomoso
79,Marjorie Dukes,MarjorieDukes81@gmail.com,815-566-6409,1991-07-09,F,Nigeria,Owerri
80,Sharron Rigney,SharronRigney58@gmail.com,580-332-4836,1985-01-16,F,Nigeria,Maiduguri
81,Orlando Cabrera,OrlandoCabrera90@gmail.com,908-367-1420,1992-06-27,M,Nigeria,Maiduguri
82,Roberto Fore,RobertoFore72@gmail.com,727-321-6399,1997-12-08,M,Nigeria,Ife
83,Debbie Becerra,DebbieBecerra41@gmail.com,414-659-9749,1986-09-11,F,Nigeria,Damaturu
84,Norene Garett,NoreneGarett31@gmail.com,317-299-9817,1989-03-24,F,Nigeria,Karu
85,Lessie Eckman,LessieEckman57@gmail.com,570-251-0522,1993-07-06,F,Nigeria,Suleja
86,Lillian Hayes,LillianHayes94@gmail.com,949-566-0227,1984-11-23,F,Nigeria,Oshogbo
87,Ashlee Boudreaux,AshleeBoudreaux71@gmail.com,715-853-2943,1998-05-01,F,Nigeria,Onitsha
88,Gregory Gilbert,GregoryGilbert30@gmail.com,303-646-3273,1990-08-17,M,Nigeria,Kano
89,Joseph Hall,JosephHall21@gmail.com,216-288-6131,1980-04-02,M,Nigeria,Jos
90,Mark Brazelton,MarkBrazelton90@gmail.com,909-459-6802,1994-09-25,M,Nigeria,Nsukka
91,Patricia Elbert,PatriciaElbert61@gmail.com,619-791-2621,1982-03-15,F,Nigeria,Owerri
92,Lola Billings,LolaBillings73@gmail.com,734-775-5053,1999-01-29,F,Nigeria,Katsina
93,Donald Williams,DonaldWilliams33@gmail.com,336-291-8665,1981-06-07,M,Nigeria,Birnin Kebbi
94,Timothy Corbett,TimothyCorbett85@gmail.com,856-346-0172,1987-02-20,M,Nigeria,Lokoja
95,James Cormier,JamesCormier66@gmail.com,662-234-6299,1991-10-18,M,Nigeria,Ikorodu
96,Jose Krone,JoseKrone53@gmail.com,530-706-2854,1995-04-30,M,Nigeria,Sango Ota
97,Michael Cormier,MichaelCormier90@gmail.com,908-230-8543,1983-11-12,M,Nigeria,Suleja
98,Jessie McShane,JessieMcShane30@gmail.com,309-828-3448,1992-12-26,F,Nigeria,Lokoja
99,Peggy Yancey,PeggyYancey80@gmail.com,803-387-2475,1980-03-22,F,Nigeria,Kano
100,Sandra McCauley,SandraMcCauley77@gmail.com,773-244-7554,1991-09-05,F,Nigeria,Dutse
101,George Davey,GeorgeDavey63@gmail.com,415-233-0163,1993-05-09,M,Nigeria,Sango Ota
102,Gloria Craig,GloriaCraig39@gmail.com,214-529-4439,1984-12-06,F,Nigeria,Owo
103,Charles Gerber,CharlesGerber37@gmail.com,248-632-2637,1982-07-31,M,Nigeria,Ado Ekiti
104,Ken Gonzalez,KenGonzalez41@gmail.com,254-699-7741,1997-06-18,M,Nigeria,Dutse
105,Cedric Lopez,CedricLopez06@gmail.com,828-388-6706,1988-11-08,M,Nigeria,Aba
106,Larry Baker,LarryBaker77@gmail.com,212-493-7877,1990-10-16,M,Nigeria,Maiduguri
107,Stephen Carnes,StephenCarnes88@gmail.com,347-228-4288,1996-06-03,M,Nigeria,Nnewi
108,Wayne Utz,WayneUtz91@gmail.com,631-566-6091,1982-01-25,M,Nigeria,Gusau
109,Nell Ortiz,NellOrtiz59@gmail.com,701-240-7659,1986-08-21,F,Nigeria,Karu
110,Joshua Bergman,JoshuaBergman16@gmail.com,608-254-6616,1989-02-14,M,Nigeria,Lafia
111,Jeffery Marvin,JefferyMarvin86@gmail.com,609-224-7286,1992-04-11,M,Nigeria,Ifako-Ijaiye
112,Jack Carter,JackCarter14@gmail.com,334-274-8414,1981-01-07,M,Nigeria,Karu
113,Richard Burr,RichardBurr11@gmail.com,312-881-1111,1994-11-05,M,Nigeria,Zaria
114,Tina Goodwin,TinaGoodwin45@gmail.com,770-810-9945,1983-03-02,F,Nigeria,Awka
115,William Reiter,WilliamReiter87@gmail.com,323-354-7487,1997-09-30,M,Nigeria,Abeokuta
116,Sandra Brooks,SandraBrooks71@gmail.com,312-440-2371,1985-06-13,F,Nigeria,Warri
117,George Weems,GeorgeWeems63@gmail.com,412-894-1363,1999-08-08,M,Nigeria,Ilorin
118,Johnny Hopper,JohnnyHopper23@gmail.com,660-946-9923,1992-12-24,M,Nigeria,Orlu
119,Vanesa Warnock,VanesaWarnock83@gmail.com,281-603-9283,1981-07-17,F,Nigeria,Sokoto
120,Randy Castorena,RandyCastorena26@gmail.com,206-932-0126,1989-10-20,M,Nigeria,Oshogbo
121,John Smith,JohnSmith02@gmail.com,617-450-2902,1990-05-28,M,Nigeria,Abuja
122,George Goldman,GeorgeGoldman34@gmail.com,314-238-1034,1982-01-10,M,Nigeria,Ikorodu
123,John Borden,JohnBorden59@gmail.com,254-623-1059,1993-11-03,M,Nigeria,Oshogbo
124,Mary Robertson,MaryRobertson95@gmail.com,513-944-3695,1997-08-09,F,Nigeria,Oshogbo
125,Warren Whitehead,WarrenWhitehead44@gmail.com,314-507-3744,1983-05-06,M,Nigeria,Gombe
126,Sharon Smith,SharonSmith51@gmail.com,407-707-0251,1986-07-26,F,Nigeria,Umuahia
127,Margaret Hurst,MargaretHurst59@gmail.com,712-353-7559,1998-09-28,F,Nigeria,Ugep
128,David Beckman,DavidBeckman85@gmail.com,443-532-3385,1980-04-16,M,Nigeria,Ifako-Ijaiye
129,Ruth Boling,RuthBoling16@gmail.com,207-515-2816,1981-07-01,F,Nigeria,Lokoja
130,Josephine Rose,JosephineRose44@gmail.com,740-201-8944,1992-03-14,F,Nigeria,Kontagora
131,Lois Parsons,LoisParsons55@gmail.com,718-686-5355,1984-01-19,F,Nigeria,Mubi
132,Leonard Cox,LeonardCox92@gmail.com,203-571-6592,1987-11-22,M,Nigeria,Ife
133,Michael Palmer,MichaelPalmer68@gmail.com,775-881-1668,1989-02-07,M,Nigeria,Aba
134,Jeffrey Stubbs,JeffreyStubbs24@gmail.com,352-287-2924,1993-09-04,M,Nigeria,Karu
135,Francis Reeves,FrancisReeves35@gmail.com,305-409-2235,1994-05-11,M,Nigeria,Abuja
136,Martha Murphy,MarthaMurphy27@gmail.com,513-321-8127,1995-03-08,F,Nigeria,Orlu
137,Cornelia Ashcraft,CorneliaAshcraft41@gmail.com,407-206-8541,1984-06-23,F,Nigeria,Ogbomoso
138,Emma Wilson,EmmaWilson53@gmail.com,503-851-2053,1985-08-06,F,Nigeria,Orlu
139,Michelle Davis,MichelleDavis26@gmail.com,605-925-4426,1990-12-19,F,Nigeria,Ibadan
140,Ruben Lee,RubenLee99@gmail.com,618-334-2299,1997-11-30,M,Nigeria,Gusau
141,Patricia Hinson,PatriciaHinson84@gmail.com,305-590-8484,1981-09-15,F,Nigeria,Kaduna
142,Annie Stevens,AnnieStevens89@gmail.com,215-756-2589,1986-06-17,F,Nigeria,Birnin Kebbi
143,Rosa Baldwin,RosaBaldwin80@gmail.com,631-775-1580,1998-01-27,F,Nigeria,Eket
144,Ralph Boisvert,RalphBoisvert84@gmail.com,910-642-2684,1982-10-22,M,Nigeria,Benin City
145,Lauren Mack,LaurenMack29@gmail.com,920-471-5929,1991-05-12,F,Nigeria,Aba
146,Harry Handy,HarryHandy64@gmail.com,602-502-1764,1980-04-08,M,Nigeria,Kano
147,Gladys Curry,GladysCurry35@gmail.com,731-548-4035,1993-07-28,F,Nigeria,Awka
148,Gilbert Weiser,GilbertWeiser76@gmail.com,404-627-2076,1996-03-05,M,Nigeria,Ado Ekiti
149,Jason Condit,JasonCondit97@gmail.com,281-637-5697,1992-02-16,M,Nigeria,Akure
150,Natasha Fosdick,NatashaFosdick78@gmail.com,323-217-0978,1996-09-12,F,Nigeria,Ikot Ekpene
151,Leon Bentley,LeonBentley73@gmail.com,813-345-1973,1995-10-03,M,Nigeria,Sango Ota
152,Jeffery Lopez,JefferyLopez22@gmail.com,805-234-1922,1991-07-09,M,Nigeria,Oshogbo
153,Homer Robinson,HomerRobinson86@gmail.com,561-692-9986,1997-12-08,M,Nigeria,Uromi
154,Gary Garner,GaryGarner73@gmail.com,972-576-8673,1999-03-24,M,Nigeria,Calabar
155,Natalie Fallon,NatalieFallon12@gmail.com,240-349-2812,1993-07-06,F,Nigeria,Enugu
156,George McJunkin,GeorgeMcJunkin66@gmail.com,631-963-9866,1998-05-01,M,Nigeria,Makurdi
157,Gerald Mitchell,GeraldMitchell78@gmail.com,912-570-5878,1990-08-17,M,Nigeria,Lafia
158,Mildred Burns,MildredBurns51@gmail.com,801-774-8751,1994-09-25,M,Nigeria,Bauchi
159,Barbara Bowerman,BarbaraBowerman22@gmail.com,212-954-3122,1999-01-29,F,Nigeria,Benin City
160,Curtis Dougherty,CurtisDougherty50@gmail.com,541-249-6750,1991-06-07,M,Nigeria,Ugep
161,Charles Browder,CharlesBrowder20@gmail.com,972-678-9020,1991-10-18,M,Nigeria,Kaduna
162,Richard Coffey,RichardCoffey31@gmail.com,330-509-8231,1995-04-30,M,Nigeria,Orlu
163,Jennifer Sears,JenniferSears87@gmail.com,630-719-2287,1991-09-05,F,Nigeria,Birnin Kebbi
164,Amy Bunn,AmyBunn02@gmail.com,305-694-2202,1993-05-09,F,Nigeria,Minna
165,Stella Baptista,StellaBaptista41@gmail.com,708-283-3041,1992-07-31,F,Nigeria,Sango Ota
166,Darell Gallegos,DarellGallegos75@gmail.com,816-903-9875,1997-06-18,F,Nigeria,Yola
167,Karen Silva,KarenSilva24@gmail.com,517-604-4824,1990-10-16,F,Nigeria,Oyo
168,Michelle Green,MichelleGreen78@gmail.com,978-866-8078,1996-06-03,F,Nigeria,Zaria
169,Michael Perry,MichaelPerry13@gmail.com,330-863-5813,1994-08-21,M,Nigeria,Awka
170,Bess Cotton,BessCotton87@gmail.com,517-416-8487,1999-02-14,F,Nigeria,Damaturu
171,Paul Smith,PaulSmith34@gmail.com,760-474-3534,1992-04-11,M,Nigeria,Awka
172,Raymond Mooney,RaymondMooney38@gmail.com,770-601-0438,1994-11-05,M,Nigeria,Aba
173,Cheryl Chavez,CherylChavez76@gmail.com,717-795-8776,1997-09-30,F,Nigeria,Wukari
174,Michelle Davis,MichelleDavis52@gmail.com,808-479-1652,1999-08-08,F,Nigeria,Damaturu
175,Ethel Mitchell,EthelMitchell17@gmail.com,559-725-8217,1992-12-24,M,Nigeria,Eket
176,Paul Dykes,PaulDykes61@gmail.com,201-387-3161,1996-10-20,M,Nigeria,Dutse
177,Theresa Lesage,TheresaLesage72@gmail.com,414-283-3872,1993-11-03,F,Nigeria,Gombe
178,Adrian Graves,AdrianGraves59@gmail.com,716-929-7259,1997-08-09,F,Nigeria,Ugep
179,Wayne Smith,WayneSmith02@gmail.com,281-931-2702,1998-09-28,M,Nigeria,Ilorin
180,Larry Barrera,LarryBarrera12@gmail.com,870-479-8912,1994-01-19,M,Nigeria,Lekki
181,Dora Swindle,DoraSwindle44@gmail.com,252-243-6044,1993-09-04,F,Nigeria,Enugu
182,John Therrien,JohnTherrien77@gmail.com,816-454-4377,1994-05-11,M,Nigeria,Uyo
183,Bessie Whitley,BessieWhitley51@gmail.com,856-939-8851,1995-03-08,F,Nigeria,Bauchi
184,Mary Leath,MaryLeath55@gmail.com,925-226-2355,1998-01-27,F,Nigeria,Sapele
185,Freda Dingess,FredaDingess00@gmail.com,360-366-0900,1991-05-12,F,Nigeria,Enugu
186,Rayford King,RayfordKing75@gmail.com,651-398-4375,1993-07-28,M,Nigeria,Ikoyi
187,Isa Westerman,IsaWesterman76@gmail.com,217-837-9576,1996-03-05,F,Nigeria,Makurdi
188,Gail Crockett,GailCrockett38@gmail.com,650-257-2038,1992-02-16,M,Nigeria,Ilesha
189,Bertha Davis,BerthaDavis23@gmail.com,843-262-6323,1997-02-07,F,Nigeria,Ilorin
190,Jim Wang,JimWang74@gmail.com,831-438-1174,1994-10-01,M,Nigeria,Gombe
191,David Chafin,DavidChafin85@gmail.com,678-534-6885,1998-05-18,M,Nigeria,Sapele
192,William Brothers,WilliamBrothers20@gmail.com,978-556-9620,1999-07-13,M,Nigeria,Ifako-Ijaiye
193,Janis Balderas,JanisBalderas55@gmail.com,917-641-6255,1997-03-22,F,Nigeria,Port Harcourt
194,Norman Clifton,NormanClifton08@gmail.com,845-713-5408,1995-06-06,M,Nigeria,Calabar
195,Norma Meyer,NormaMeyer52@gmail.com,580-726-3452,1992-11-17,F,Nigeria,Ibadan
196,Helen Branch,HelenBranch88@gmail.com,828-247-7388,1995-09-21,F,Nigeria,Sapele
197,Antonio Rio,AntonioRio90@gmail.com,517-948-8690,1993-08-04,M,Nigeria,Minna
198,Carole Frasier,CaroleFrasier57@gmail.com,619-334-7957,1999-02-23,F,Nigeria,Abuja
199,Michael Marlow,MichaelMarlow30@gmail.com,312-593-0930,1998-08-14,M,Nigeria,Keffi
200,Raul Turner,RaulTurner13@gmail.com,928-595-7113,1990-01-15,M,Nigeria,Port Harcourt
